entity_id	kind	rank	label	taxon_id	born	sex	source_id	note
SSA:0000001	group	ecotype	Southern Resident	NCBITaxon:9733			SEED	
SSA:0000002	group	ecotype	Bigg's	NCBITaxon:9733			SEED	Also called "transient" in older literature; see names.tsv.
SSA:0000010	group	community	Southern Resident community	NCBITaxon:9733			SEED	Relationship between community and ecotype is unresolved; see open-questions.md Q1.
SSA:0000011	group	clan	J clan	NCBITaxon:9733			SEED	Southern Residents are believed to comprise a single acoustic clan. Needs expert confirmation.
SSA:0000020	group	pod	J pod	NCBITaxon:9733			SEED	
SSA:0000021	group	pod	K pod	NCBITaxon:9733			SEED	
SSA:0000022	group	pod	L pod	NCBITaxon:9733			SEED	
SSA:0000030	group	matriline	J17s	NCBITaxon:9733			SEED	The matriline, distinct from individual SSA:0000105. See ADR-0003.
SSA:0000031	group	matriline	L32s	NCBITaxon:9733			SEED	
SSA:0000040	group	matriline	T090s	NCBITaxon:9733			SEED	
SSA:0000101	individual		J35	NCBITaxon:9733	1998	F	SEED	Birth year unverified.
SSA:0000102	individual		J57	NCBITaxon:9733	2020-09	M	SEED	
SSA:0000103	individual		J50	NCBITaxon:9733	2014-12	F	SEED	See status.tsv.
SSA:0000104	individual		L87	NCBITaxon:9733	1992	M	SEED	Mother was L32, who is not yet in the register, so the edge is not in parentage.tsv. Travelled with K pod and later J pod. See ADR-0005 and docs/walkthrough.md.
SSA:0000105	individual		J17	NCBITaxon:9733	1977	F	SEED	The individual, distinct from matriline SSA:0000030.
SSA:0000900	taxon		Orcinus orca	NCBITaxon:9733			SEED	Tag this when an orca is heard but the ecotype is undetermined.
SSA:0000901	taxon		Megaptera novaeangliae	NCBITaxon:9773			SEED	
SSA:0000902	taxon		Eumetopias jubatus	NCBITaxon:34886			SEED	
SSA:0000903	taxon		Zalophus californianus	NCBITaxon:9704			SEED	
SSA:0000904	taxon		Phoca vitulina	NCBITaxon:9720			SEED	
SSA:0002000	group	matriline	T002s	NCBITaxon:9733			BIGGS-SHEET	Derived from the designation prefix; the sheet groups T002 descendants across several blocks. Grouping unconfirmed — see Q22.
SSA:0002001	group	matriline	T007s	NCBITaxon:9733			BIGGS-SHEET	Derived from the designation prefix; the sheet groups T007 descendants across several blocks. Grouping unconfirmed — see Q22.
SSA:0002002	group	matriline	T010s	NCBITaxon:9733			BIGGS-SHEET	Derived from the designation prefix; the sheet groups T010 descendants across several blocks. Grouping unconfirmed — see Q22.
SSA:0002003	group	matriline	T011s	NCBITaxon:9733			BIGGS-SHEET	Derived from the designation prefix; the sheet groups T011 descendants across several blocks. Grouping unconfirmed — see Q22.
SSA:0002004	group	matriline	T012s	NCBITaxon:9733			BIGGS-SHEET	Derived from the designation prefix; the sheet groups T012 descendants across several blocks. Grouping unconfirmed — see Q22.
SSA:0002005	group	matriline	T018s	NCBITaxon:9733			BIGGS-SHEET	Derived from the designation prefix; the sheet groups T018 descendants across several blocks. Grouping unconfirmed — see Q22.
SSA:0002006	group	matriline	T019s	NCBITaxon:9733			BIGGS-SHEET	Derived from the designation prefix; the sheet groups T019 descendants across several blocks. Grouping unconfirmed — see Q22.
SSA:0002007	group	matriline	T020s	NCBITaxon:9733			BIGGS-SHEET	Derived from the designation prefix; the sheet groups T020 descendants across several blocks. Grouping unconfirmed — see Q22.
SSA:0002008	group	matriline	T021s	NCBITaxon:9733			BIGGS-SHEET	Derived from the designation prefix; the sheet groups T021 descendants across several blocks. Grouping unconfirmed — see Q22.
SSA:0002009	group	matriline	T023s	NCBITaxon:9733			BIGGS-SHEET	Derived from the designation prefix; the sheet groups T023 descendants across several blocks. Grouping unconfirmed — see Q22.
SSA:0002010	group	matriline	T026s	NCBITaxon:9733			BIGGS-SHEET	Derived from the designation prefix; the sheet groups T026 descendants across several blocks. Grouping unconfirmed — see Q22.
SSA:0002011	group	matriline	T028s	NCBITaxon:9733			BIGGS-SHEET	Derived from the designation prefix; the sheet groups T028 descendants across several blocks. Grouping unconfirmed — see Q22.
SSA:0002012	group	matriline	T030s	NCBITaxon:9733			BIGGS-SHEET	Derived from the designation prefix; the sheet groups T030 descendants across several blocks. Grouping unconfirmed — see Q22.
SSA:0002013	group	matriline	T031s	NCBITaxon:9733			BIGGS-SHEET	Derived from the designation prefix; the sheet groups T031 descendants across several blocks. Grouping unconfirmed — see Q22.
SSA:0002014	group	matriline	T034s	NCBITaxon:9733			BIGGS-SHEET	Derived from the designation prefix; the sheet groups T034 descendants across several blocks. Grouping unconfirmed — see Q22.
SSA:0002015	group	matriline	T035s	NCBITaxon:9733			BIGGS-SHEET	Derived from the designation prefix; the sheet groups T035 descendants across several blocks. Grouping unconfirmed — see Q22.
SSA:0002016	group	matriline	T036s	NCBITaxon:9733			BIGGS-SHEET	Derived from the designation prefix; the sheet groups T036 descendants across several blocks. Grouping unconfirmed — see Q22.
SSA:0002017	group	matriline	T037s	NCBITaxon:9733			BIGGS-SHEET	Derived from the designation prefix; the sheet groups T037 descendants across several blocks. Grouping unconfirmed — see Q22.
SSA:0002018	group	matriline	T038s	NCBITaxon:9733			BIGGS-SHEET	Derived from the designation prefix; the sheet groups T038 descendants across several blocks. Grouping unconfirmed — see Q22.
SSA:0002019	group	matriline	T040s	NCBITaxon:9733			BIGGS-SHEET	Derived from the designation prefix; the sheet groups T040 descendants across several blocks. Grouping unconfirmed — see Q22.
SSA:0002020	group	matriline	T041s	NCBITaxon:9733			BIGGS-SHEET	Derived from the designation prefix; the sheet groups T041 descendants across several blocks. Grouping unconfirmed — see Q22.
SSA:0002021	group	matriline	T046s	NCBITaxon:9733			BIGGS-SHEET	Derived from the designation prefix; the sheet groups T046 descendants across several blocks. Grouping unconfirmed — see Q22.
SSA:0002022	group	matriline	T049s	NCBITaxon:9733			BIGGS-SHEET	Derived from the designation prefix; the sheet groups T049 descendants across several blocks. Grouping unconfirmed — see Q22.
SSA:0002023	group	matriline	T050s	NCBITaxon:9733			BIGGS-SHEET	Derived from the designation prefix; the sheet groups T050 descendants across several blocks. Grouping unconfirmed — see Q22.
SSA:0002024	group	matriline	T051s	NCBITaxon:9733			BIGGS-SHEET	Derived from the designation prefix; the sheet groups T051 descendants across several blocks. Grouping unconfirmed — see Q22.
SSA:0002025	group	matriline	T054s	NCBITaxon:9733			BIGGS-SHEET	Derived from the designation prefix; the sheet groups T054 descendants across several blocks. Grouping unconfirmed — see Q22.
SSA:0002026	group	matriline	T055s	NCBITaxon:9733			BIGGS-SHEET	Derived from the designation prefix; the sheet groups T055 descendants across several blocks. Grouping unconfirmed — see Q22.
SSA:0002027	group	matriline	T057s	NCBITaxon:9733			BIGGS-SHEET	Derived from the designation prefix; the sheet groups T057 descendants across several blocks. Grouping unconfirmed — see Q22.
SSA:0002028	group	matriline	T058s	NCBITaxon:9733			BIGGS-SHEET	Derived from the designation prefix; the sheet groups T058 descendants across several blocks. Grouping unconfirmed — see Q22.
SSA:0002029	group	matriline	T059s	NCBITaxon:9733			BIGGS-SHEET	Derived from the designation prefix; the sheet groups T059 descendants across several blocks. Grouping unconfirmed — see Q22.
SSA:0002030	group	matriline	T060s	NCBITaxon:9733			BIGGS-SHEET	Derived from the designation prefix; the sheet groups T060 descendants across several blocks. Grouping unconfirmed — see Q22.
SSA:0002031	group	matriline	T063s	NCBITaxon:9733			BIGGS-SHEET	Derived from the designation prefix; the sheet groups T063 descendants across several blocks. Grouping unconfirmed — see Q22.
SSA:0002032	group	matriline	T064s	NCBITaxon:9733			BIGGS-SHEET	Derived from the designation prefix; the sheet groups T064 descendants across several blocks. Grouping unconfirmed — see Q22.
SSA:0002033	group	matriline	T065s	NCBITaxon:9733			BIGGS-SHEET	Derived from the designation prefix; the sheet groups T065 descendants across several blocks. Grouping unconfirmed — see Q22.
SSA:0002034	group	matriline	T068s	NCBITaxon:9733			BIGGS-SHEET	Derived from the designation prefix; the sheet groups T068 descendants across several blocks. Grouping unconfirmed — see Q22.
SSA:0002035	group	matriline	T069s	NCBITaxon:9733			BIGGS-SHEET	Derived from the designation prefix; the sheet groups T069 descendants across several blocks. Grouping unconfirmed — see Q22.
SSA:0002036	group	matriline	T070s	NCBITaxon:9733			BIGGS-SHEET	Derived from the designation prefix; the sheet groups T070 descendants across several blocks. Grouping unconfirmed — see Q22.
SSA:0002037	group	matriline	T071s	NCBITaxon:9733			BIGGS-SHEET	Derived from the designation prefix; the sheet groups T071 descendants across several blocks. Grouping unconfirmed — see Q22.
