taxon_id	parent_id	rank	scientific_name	source_id
NCBITaxon:2759	NCBITaxon:131567	domain	Eukaryota	NCBI
NCBITaxon:6072	NCBITaxon:33208	clade	Eumetazoa	NCBI
NCBITaxon:7711	NCBITaxon:33511	phylum	Chordata	NCBI
NCBITaxon:7742	NCBITaxon:89593	clade	Vertebrata	NCBI
NCBITaxon:7776	NCBITaxon:7742	clade	Gnathostomata	NCBI
NCBITaxon:8287	NCBITaxon:117571	superclass	Sarcopterygii	NCBI
NCBITaxon:8457	NCBITaxon:32524	clade	Sauropsida	NCBI
NCBITaxon:8492	NCBITaxon:1329799	clade	Archosauria	NCBI
NCBITaxon:8782	NCBITaxon:436492	class	Aves	NCBI
NCBITaxon:8825	NCBITaxon:8782	infraclass	Neognathae	NCBI
NCBITaxon:8906	NCBITaxon:3078114	order	Charadriiformes	NCBI
NCBITaxon:8910	NCBITaxon:8906	family	Laridae	NCBI
NCBITaxon:9126	NCBITaxon:3073809	order	Passeriformes	NCBI
NCBITaxon:9158	NCBITaxon:175121	family	Passeridae	NCBI
NCBITaxon:9159	NCBITaxon:9158	genus	Passer	NCBI
NCBITaxon:9347	NCBITaxon:32525	clade	Eutheria	NCBI
NCBITaxon:9655	NCBITaxon:3072906	family	Mustelidae	NCBI
NCBITaxon:9702	NCBITaxon:3072905	family	Otariidae	NCBI
NCBITaxon:9703	NCBITaxon:9702	genus	Zalophus	NCBI
NCBITaxon:9704	NCBITaxon:9703	species	Zalophus californianus	NCBI
NCBITaxon:9709	NCBITaxon:3072905	family	Phocidae	NCBI
NCBITaxon:9714	NCBITaxon:3410122	genus	Mirounga	NCBI
NCBITaxon:9716	NCBITaxon:9714	species	Mirounga angustirostris	NCBI
NCBITaxon:9717	NCBITaxon:3410118	genus	Phoca	NCBI
NCBITaxon:9720	NCBITaxon:9717	species	Phoca vitulina	NCBI
NCBITaxon:9721	NCBITaxon:2653789	infraorder	Cetacea	NCBI
NCBITaxon:9722	NCBITaxon:9721	parvorder	Odontoceti	NCBI
NCBITaxon:9726	NCBITaxon:9722	family	Delphinidae	NCBI
NCBITaxon:9727	NCBITaxon:9726	genus	Delphinus	NCBI
NCBITaxon:9728	NCBITaxon:9727	species	Delphinus delphis	NCBI
NCBITaxon:9729	NCBITaxon:9726	genus	Globicephala	NCBI
NCBITaxon:9732	NCBITaxon:9726	genus	Orcinus	NCBI
NCBITaxon:9733	NCBITaxon:9732	species	Orcinus orca	NCBI
NCBITaxon:9734	NCBITaxon:9726	genus	Stenella	NCBI
NCBITaxon:9737	NCBITaxon:9734	species	Stenella coeruleoalba	NCBI
NCBITaxon:9738	NCBITaxon:9726	genus	Tursiops	NCBI
NCBITaxon:9739	NCBITaxon:9738	species	Tursiops truncatus	NCBI
NCBITaxon:9740	NCBITaxon:9722	family	Phocoenidae	NCBI
NCBITaxon:9741	NCBITaxon:9740	genus	Phocoena	NCBI
NCBITaxon:9742	NCBITaxon:9741	species	Phocoena phocoena	NCBI
NCBITaxon:9743	NCBITaxon:9740	genus	Phocoenoides	NCBI
NCBITaxon:9744	NCBITaxon:9743	species	Phocoenoides dalli	NCBI
NCBITaxon:9747	NCBITaxon:9722	family	Monodontidae	NCBI
NCBITaxon:9748	NCBITaxon:9747	genus	Delphinapterus	NCBI
NCBITaxon:9749	NCBITaxon:9748	species	Delphinapterus leucas	NCBI
NCBITaxon:9750	NCBITaxon:9722	family	Physeteridae	NCBI
NCBITaxon:9751	NCBITaxon:9750	genus	Kogia	NCBI
NCBITaxon:9752	NCBITaxon:9751	species	Kogia sima	NCBI
NCBITaxon:9753	NCBITaxon:9750	genus	Physeter	NCBI
NCBITaxon:9755	NCBITaxon:9753	species	Physeter macrocephalus	NCBI
NCBITaxon:9756	NCBITaxon:9722	family	Ziphiidae	NCBI
NCBITaxon:9759	NCBITaxon:9756	genus	Ziphius	NCBI
NCBITaxon:9760	NCBITaxon:9759	species	Ziphius cavirostris	NCBI
NCBITaxon:9761	NCBITaxon:9721	parvorder	Mysticeti	NCBI
NCBITaxon:9762	NCBITaxon:9761	family	Eschrichtiidae	NCBI
NCBITaxon:9763	NCBITaxon:9762	genus	Eschrichtius	NCBI
NCBITaxon:9764	NCBITaxon:9763	species	Eschrichtius robustus	NCBI
NCBITaxon:9765	NCBITaxon:9761	family	Balaenopteridae	NCBI
NCBITaxon:9766	NCBITaxon:9765	genus	Balaenoptera	NCBI
NCBITaxon:9767	NCBITaxon:9766	species	Balaenoptera acutorostrata	NCBI
NCBITaxon:9768	NCBITaxon:9766	species	Balaenoptera borealis	NCBI
NCBITaxon:9770	NCBITaxon:9766	species	Balaenoptera physalus	NCBI
NCBITaxon:9771	NCBITaxon:9766	species	Balaenoptera musculus	NCBI
NCBITaxon:9772	NCBITaxon:9765	genus	Megaptera	NCBI
NCBITaxon:9773	NCBITaxon:9772	species	Megaptera novaeangliae	NCBI
NCBITaxon:27605	NCBITaxon:30558	genus	Eubalaena	NCBI
NCBITaxon:27612	NCBITaxon:9726	genus	Lissodelphis	NCBI
