entity_id	status	effective	asserted_on	recorded	source_id
SSA:0000101	alive	1998		2026-07-27	SEED
SSA:0000102	alive	2020-09		2026-07-27	SEED
SSA:0000103	presumed_dead	2018-09	2018-09-13	2026-07-27	SEED
SSA:0000104	alive	1992		2026-07-27	SEED
SSA:0000105	alive	1977		2026-07-27	SEED
SSA:0010000	alive	1979		2026-07-28	BIGGS-SHEET
SSA:0010001	alive	1989		2026-07-28	BIGGS-SHEET
SSA:0010002	alive	2002		2026-07-28	BIGGS-SHEET
SSA:0010003	dead	../2026-07		2026-07-28	BIGGS-SHEET
SSA:0010004	alive	2011		2026-07-28	BIGGS-SHEET
SSA:0010005	dead	../2026-07		2026-07-28	BIGGS-SHEET
SSA:0010006	alive	2020		2026-07-28	BIGGS-SHEET
SSA:0010007	alive	2025		2026-07-28	BIGGS-SHEET
SSA:0010008	dead	../2026-07		2026-07-28	BIGGS-SHEET
SSA:0010009	dead	../2026-07		2026-07-28	BIGGS-SHEET
SSA:0010010	alive	1982		2026-07-28	BIGGS-SHEET
SSA:0010011	alive	2005		2026-07-28	BIGGS-SHEET
SSA:0010012	alive	2010		2026-07-28	BIGGS-SHEET
SSA:0010013	alive	2018		2026-07-28	BIGGS-SHEET
SSA:0010014	alive	2022		2026-07-28	BIGGS-SHEET
SSA:0010016	dead	../2026-07		2026-07-28	BIGGS-SHEET
SSA:0010017	dead	../2026-07		2026-07-28	BIGGS-SHEET
SSA:0010018	dead	../2026-07		2026-07-28	BIGGS-SHEET
SSA:0010019	alive	1978		2026-07-28	BIGGS-SHEET
SSA:0010020	dead	../2026-07		2026-07-28	BIGGS-SHEET
SSA:0010023	alive	1995		2026-07-28	BIGGS-SHEET
SSA:0010024	alive	2001		2026-07-28	BIGGS-SHEET
SSA:0010025	dead	../2026-07		2026-07-28	BIGGS-SHEET
SSA:0010026	dead	../2026-07		2026-07-28	BIGGS-SHEET
SSA:0010028	alive	1990		2026-07-28	BIGGS-SHEET
SSA:0010029	alive	2009		2026-07-28	BIGGS-SHEET
SSA:0010030	alive	2013		2026-07-28	BIGGS-SHEET
SSA:0010031	alive	2018		2026-07-28	BIGGS-SHEET
SSA:0010032	alive	2023		2026-07-28	BIGGS-SHEET
SSA:0010033	alive	1993		2026-07-28	BIGGS-SHEET
SSA:0010034	alive	2012		2026-07-28	BIGGS-SHEET
SSA:0010035	alive	2015		2026-07-28	BIGGS-SHEET
SSA:0010036	alive	2019		2026-07-28	BIGGS-SHEET
SSA:0010038	alive	1990		2026-07-28	BIGGS-SHEET
SSA:0010040	alive	1994		2026-07-28	BIGGS-SHEET
SSA:0010041	alive	2012		2026-07-28	BIGGS-SHEET
SSA:0010042	alive	2018		2026-07-28	BIGGS-SHEET
SSA:0010043	alive	2021		2026-07-28	BIGGS-SHEET
SSA:0010044	alive	1997		2026-07-28	BIGGS-SHEET
SSA:0010045	alive	2015		2026-07-28	BIGGS-SHEET
SSA:0010046	alive	2018		2026-07-28	BIGGS-SHEET
SSA:0010047	alive	2003		2026-07-28	BIGGS-SHEET
SSA:0010048	alive	2007		2026-07-28	BIGGS-SHEET
SSA:0010049	alive	2013		2026-07-28	BIGGS-SHEET
SSA:0010050	dead	../2026-07		2026-07-28	BIGGS-SHEET
SSA:0010051	alive	1986		2026-07-28	BIGGS-SHEET
SSA:0010052	alive	1993		2026-07-28	BIGGS-SHEET
SSA:0010053	alive	2012		2026-07-28	BIGGS-SHEET
SSA:0010054	alive	2017		2026-07-28	BIGGS-SHEET
SSA:0010055	alive	2024		2026-07-28	BIGGS-SHEET
SSA:0010056	alive	2005		2026-07-28	BIGGS-SHEET
SSA:0010057	dead	../2026-07		2026-07-28	BIGGS-SHEET
SSA:0010059	alive	2007		2026-07-28	BIGGS-SHEET
SSA:0010060	dead	../2026-07		2026-07-28	BIGGS-SHEET
SSA:0010061	alive	2024		2026-07-28	BIGGS-SHEET
SSA:0010062	alive	2017		2026-07-28	BIGGS-SHEET
SSA:0010064	alive	1998		2026-07-28	BIGGS-SHEET
SSA:0010065	alive	2010		2026-07-28	BIGGS-SHEET
SSA:0010066	alive	2013		2026-07-28	BIGGS-SHEET
SSA:0010067	alive	2018		2026-07-28	BIGGS-SHEET
SSA:0010068	alive	2022		2026-07-28	BIGGS-SHEET
SSA:0010070	alive	1990		2026-07-28	BIGGS-SHEET
SSA:0010071	alive	2005		2026-07-28	BIGGS-SHEET
SSA:0010072	alive	2022		2026-07-28	BIGGS-SHEET
SSA:0010073	alive	2012		2026-07-28	BIGGS-SHEET
SSA:0010074	alive	2015		2026-07-28	BIGGS-SHEET
SSA:0010075	alive	2021		2026-07-28	BIGGS-SHEET
SSA:0010076	alive	1998		2026-07-28	BIGGS-SHEET
SSA:0010077	alive	2009		2026-07-28	BIGGS-SHEET
SSA:0010078	alive	2025		2026-07-28	BIGGS-SHEET
SSA:0010079	alive	2013		2026-07-28	BIGGS-SHEET
SSA:0010080	dead	../2026-07		2026-07-28	BIGGS-SHEET
SSA:0010081	alive	2024		2026-07-28	BIGGS-SHEET
SSA:0010082	alive	1979		2026-07-28	BIGGS-SHEET
SSA:0010083	alive	1994		2026-07-28	BIGGS-SHEET
SSA:0010084	alive	2007		2026-07-28	BIGGS-SHEET
SSA:0010085	alive	2009		2026-07-28	BIGGS-SHEET
SSA:0010086	alive	2013		2026-07-28	BIGGS-SHEET
SSA:0010087	alive	2015		2026-07-28	BIGGS-SHEET
SSA:0010088	dead	../2026-07		2026-07-28	BIGGS-SHEET
SSA:0010089	alive	1998		2026-07-28	BIGGS-SHEET
SSA:0010090	alive	2012		2026-07-28	BIGGS-SHEET
SSA:0010091	dead	../2026-07		2026-07-28	BIGGS-SHEET
SSA:0010092	alive	2022		2026-07-28	BIGGS-SHEET
SSA:0010093	alive	1980		2026-07-28	BIGGS-SHEET
SSA:0010094	alive	2000		2026-07-28	BIGGS-SHEET
SSA:0010095	dead	../2026-07		2026-07-28	BIGGS-SHEET
SSA:0010096	alive	2020		2026-07-28	BIGGS-SHEET
SSA:0010097	alive	2024		2026-07-28	BIGGS-SHEET
SSA:0010098	alive	2003		2026-07-28	BIGGS-SHEET
SSA:0010099	alive	2018		2026-07-28	BIGGS-SHEET
SSA:0010100	alive	2023		2026-07-28	BIGGS-SHEET
SSA:0010101	alive	2008		2026-07-28	BIGGS-SHEET
SSA:0010102	alive	2012		2026-07-28	BIGGS-SHEET
SSA:0010103	alive	2017		2026-07-28	BIGGS-SHEET
SSA:0010104	alive	2023		2026-07-28	BIGGS-SHEET
SSA:0010105	dead	../2026-07		2026-07-28	BIGGS-SHEET
SSA:0010107	alive	1988		2026-07-28	BIGGS-SHEET
SSA:0010108	dead	../2026-07		2026-07-28	BIGGS-SHEET
SSA:0010109	alive	2013		2026-07-28	BIGGS-SHEET
SSA:0010110	alive	2018		2026-07-28	BIGGS-SHEET
SSA:0010111	dead	../2026-07		2026-07-28	BIGGS-SHEET
SSA:0010112	alive	1988		2026-07-28	BIGGS-SHEET
SSA:0010113	alive	2003		2026-07-28	BIGGS-SHEET
SSA:0010114	alive	2015		2026-07-28	BIGGS-SHEET
SSA:0010115	dead	../2026-07		2026-07-28	BIGGS-SHEET
SSA:0010116	alive	2022		2026-07-28	BIGGS-SHEET
SSA:0010117	alive	2008		2026-07-28	BIGGS-SHEET
SSA:0010118	dead	../2026-07		2026-07-28	BIGGS-SHEET
SSA:0010119	alive	2023		2026-07-28	BIGGS-SHEET
SSA:0010120	alive	2011		2026-07-28	BIGGS-SHEET
