taxon_id	ancestor_id	depth	ancestor_rank	ancestor_name
NCBITaxon:103588	NCBITaxon:103588	0	species	Lissodelphis borealis
NCBITaxon:103588	NCBITaxon:117570	17	clade	Teleostomi
NCBITaxon:103588	NCBITaxon:117571	16	clade	Euteleostomi
NCBITaxon:103588	NCBITaxon:131567	28	cellular root	cellular organisms
NCBITaxon:103588	NCBITaxon:1338369	14	clade	Dipnotetrapodomorpha
NCBITaxon:103588	NCBITaxon:1437010	8	clade	Boreoeutheria
NCBITaxon:103588	NCBITaxon:2653789	5	suborder	Whippomorpha
NCBITaxon:103588	NCBITaxon:2759	27	domain	Eukaryota
NCBITaxon:103588	NCBITaxon:27612	1	genus	Lissodelphis
NCBITaxon:103588	NCBITaxon:314145	7	superorder	Laurasiatheria
NCBITaxon:103588	NCBITaxon:32523	13	clade	Tetrapoda
NCBITaxon:103588	NCBITaxon:32524	12	clade	Amniota
NCBITaxon:103588	NCBITaxon:32525	10	clade	Theria
NCBITaxon:103588	NCBITaxon:33154	26	clade	Opisthokonta
NCBITaxon:103588	NCBITaxon:33208	25	kingdom	Metazoa
NCBITaxon:103588	NCBITaxon:33213	23	clade	Bilateria
NCBITaxon:103588	NCBITaxon:33511	22	clade	Deuterostomia
NCBITaxon:103588	NCBITaxon:40674	11	class	Mammalia
NCBITaxon:103588	NCBITaxon:6072	24	clade	Eumetazoa
NCBITaxon:103588	NCBITaxon:7711	21	phylum	Chordata
NCBITaxon:103588	NCBITaxon:7742	19	clade	Vertebrata
NCBITaxon:103588	NCBITaxon:7776	18	clade	Gnathostomata
NCBITaxon:103588	NCBITaxon:8287	15	superclass	Sarcopterygii
NCBITaxon:103588	NCBITaxon:89593	20	subphylum	Craniata
NCBITaxon:103588	NCBITaxon:91561	6	order	Artiodactyla
NCBITaxon:103588	NCBITaxon:9347	9	clade	Eutheria
NCBITaxon:103588	NCBITaxon:9721	4	infraorder	Cetacea
NCBITaxon:103588	NCBITaxon:9722	3	parvorder	Odontoceti
NCBITaxon:103588	NCBITaxon:9726	2	family	Delphinidae
NCBITaxon:117570	NCBITaxon:117570	0	clade	Teleostomi
NCBITaxon:117570	NCBITaxon:131567	11	cellular root	cellular organisms
NCBITaxon:117570	NCBITaxon:2759	10	domain	Eukaryota
NCBITaxon:117570	NCBITaxon:33154	9	clade	Opisthokonta
NCBITaxon:117570	NCBITaxon:33208	8	kingdom	Metazoa
NCBITaxon:117570	NCBITaxon:33213	6	clade	Bilateria
NCBITaxon:117570	NCBITaxon:33511	5	clade	Deuterostomia
NCBITaxon:117570	NCBITaxon:6072	7	clade	Eumetazoa
NCBITaxon:117570	NCBITaxon:7711	4	phylum	Chordata
NCBITaxon:117570	NCBITaxon:7742	2	clade	Vertebrata
NCBITaxon:117570	NCBITaxon:7776	1	clade	Gnathostomata
NCBITaxon:117570	NCBITaxon:89593	3	subphylum	Craniata
NCBITaxon:117571	NCBITaxon:117570	1	clade	Teleostomi
NCBITaxon:117571	NCBITaxon:117571	0	clade	Euteleostomi
NCBITaxon:117571	NCBITaxon:131567	12	cellular root	cellular organisms
NCBITaxon:117571	NCBITaxon:2759	11	domain	Eukaryota
NCBITaxon:117571	NCBITaxon:33154	10	clade	Opisthokonta
NCBITaxon:117571	NCBITaxon:33208	9	kingdom	Metazoa
NCBITaxon:117571	NCBITaxon:33213	7	clade	Bilateria
NCBITaxon:117571	NCBITaxon:33511	6	clade	Deuterostomia
NCBITaxon:117571	NCBITaxon:6072	8	clade	Eumetazoa
